Village_Name,Gram_Panchayat,Tehsil,District,State,Water_Scarcity_Index,Groundwater_Level,Soil_Moisture_Index,Rainfall_Category,Drought_Prone,Flood_Prone,Forest_Cover_percent,Forest_Density,NTFP_Potential_Index,Soil_Erosion_Risk,Land_Slope_Degree,Elevation_m,Distance_Road_km,Distance_Market_km,Distance_Town_km,Terrain_Difficulty,Tap_Water_Coverage_percent,FHTC_percent,Primary_Drinking_Source,Sanitation_Coverage_percent,Electricity_Coverage_percent,Hours_Electricity_per_Day,Road_Connectivity_Status,PMGSY_Road_Completed,Distance_Primary_School_km,Distance_Secondary_School_km,School_in_Village,Literacy_Rate_percent,Female_Literacy_Rate_percent,Distance_Health_Subcenter_km,Distance_PHC_km,Immunization_Rate_percent,Total_Households,Total_Population,ST_Population_percent,PVTG_Flag,Female_Headed_HH_percent,Landless_HH_percent,Migration_Rate_percent,Wage_Labour_Dependence_percent,Agriculture_Dependence_percent,NTFP_Dependence_percent,Avg_Agricultural_Productivity,Rural_Poverty_Rate_percent,Unemployment_Rate_percent,SHG_Presence,Number_of_SHGs,PMAY_Completed_Houses_percent,Kutcha_Houses_percent,JJM_Coverage_percent,JJM_Projects_in_Progress,MGNREGA_Persondays_Last_Year,MGNREGA_Assets_Created_Count,SHG_Count,Village_Covered_under_NRLM,DAJGUA_Completed_Count,DAJGUA_Status,Climate_Vulnerability_Score,Disaster_History_Score,Forest_Fire_Incidents_5yrs,Malnutrition_Risk_Index,Water_Quality_Risk
Village_479,GP Niwas,Ghughri,Barwani,Telangana,16.8,Shallow,1.81,Low,Yes,Yes,45.61,Moderate,71.6,Low,12.83,815.12,10.5,33.81,12.54,Easy,81.12,51.19,Handpump,94.11,91.94,23.0,Good,Yes,8.88,10.47,No,50.63,38.67,16.6,25.78,81.23,669,1457,89.82,Yes,23.06,35.84,11.76,57.72,36.86,77.24,Low,38.39,3.28,Yes,9,38.18,46.03,4.04,5,19987,8,31,No,9,In Progress,45.44,17.24,6,4.05,Low
Village_480,GP Ghughri,Sendhwa,Jhabua,Madhya Pradesh,38.63,Deep,3.66,Low,Yes,No,39.62,Dense,41.24,Low,7.83,847.19,11.65,11.84,6.21,Easy,0.27,22.61,None,92.57,55.19,3.66,Moderate,No,5.1,14.69,Yes,26.53,31.17,14.14,29.34,58.53,464,14377,7.79,Yes,34.32,64.08,21.85,84.93,86.83,64.59,High,67.87,23.41,No,17,89.72,17.29,34.66,4,1825,90,17,No,4,Completed,7.24,84.73,7,5.05,Low
Village_481,GP Pati,Pali,Anuppur,Telangana,11.98,Medium,39.21,Medium,Yes,Yes,1.13,Moderate,66.05,Low,10.0,927.31,20.71,25.92,16.17,Moderate,52.26,94.54,Tap,21.46,47.51,8.43,Poor,No,8.52,12.67,No,76.64,23.52,11.64,4.65,86.07,304,2893,60.57,No,2.89,40.64,21.58,82.2,76.01,5.06,Low,23.1,24.09,Yes,15,72.1,52.56,21.91,6,26057,9,38,Yes,12,Completed,67.27,50.5,12,94.9,Medium
Village_482,GP Pati,Sendhwa,Sheopur,Odisha,9.02,Medium,38.98,High,Yes,No,25.48,Dense,7.84,High,30.07,938.24,19.6,16.02,6.33,Easy,42.62,20.74,Handpump,26.49,82.93,2.61,Poor,Yes,6.51,10.38,Yes,74.9,47.35,7.45,27.32,54.37,970,1897,92.41,No,31.86,22.69,10.02,70.85,19.88,80.41,Low,57.75,5.47,No,50,14.4,24.61,91.12,0,42072,83,35,Yes,17,In Progress,47.73,16.32,3,51.34,High
Village_483,GP Jobat,Pali,Alirajpur,Odisha,98.5,Deep,5.7,High,No,No,10.95,Moderate,80.87,Low,17.28,52.39,7.3,2.43,33.27,Easy,93.03,29.37,Spring,11.48,28.4,19.65,Moderate,Yes,2.49,17.19,Yes,57.86,31.85,0.06,29.95,76.92,202,8203,41.17,Yes,12.57,31.93,4.52,89.64,25.4,83.67,High,1.6,17.08,No,31,36.27,24.23,98.35,6,39006,92,25,Yes,5,Completed,12.13,76.54,13,60.39,Low
Village_484,GP Bajag,Niwas,Umaria,Madhya Pradesh,55.03,Medium,62.85,Low,No,Yes,50.25,Dense,76.58,Low,4.57,94.62,17.2,35.93,1.8,Moderate,85.68,23.82,Tap,23.87,22.72,15.11,Poor,No,5.48,16.2,No,56.04,23.86,2.89,8.37,62.41,484,1588,20.34,Yes,6.36,9.21,0.72,13.42,84.67,21.14,Medium,25.64,26.02,No,23,72.05,38.53,96.01,6,43248,2,49,Yes,11,In Progress,44.99,8.84,20,77.4,High
Village_485,GP Pati,Ghughri,Barwani,Telangana,53.75,Medium,80.57,Medium,No,Yes,11.94,Open,5.21,Low,1.92,1348.94,17.0,19.43,16.43,Difficult,64.56,10.79,Spring,23.28,57.97,20.79,Good,No,7.98,8.04,No,87.43,51.31,13.57,26.75,41.47,823,8775,37.0,Yes,1.67,52.92,27.04,52.77,62.3,38.22,Medium,17.68,20.36,Yes,56,7.34,36.44,55.09,2,17005,4,4,Yes,13,In Progress,22.99,19.7,18,41.12,Medium
Village_486,GP Pati,Ghughri,Alirajpur,Chhattisgarh,85.15,Medium,88.22,Low,No,Yes,33.45,Open,28.39,Low,6.7,1489.29,0.85,25.1,57.46,Moderate,9.93,81.4,Handpump,39.21,32.91,4.31,Poor,Yes,6.47,8.77,No,41.67,33.9,13.65,3.33,46.54,673,9242,34.94,No,13.07,39.43,3.44,5.61,1.51,14.55,Low,44.04,14.11,No,6,32.37,58.75,91.89,6,5278,86,23,No,3,Completed,37.84,70.84,11,24.41,Medium
Village_487,GP Jobat,Pati,Alirajpur,Jharkhand,49.24,Deep,51.48,Low,Yes,No,41.84,Open,13.66,Medium,1.7,480.2,1.74,10.31,49.59,Easy,68.77,80.36,Tap,37.37,27.0,23.03,Good,Yes,0.67,0.72,No,52.0,78.74,12.69,15.96,48.61,275,11482,19.91,No,13.64,17.7,22.33,24.79,51.73,48.07,Medium,22.53,30.76,Yes,9,0.3,10.77,57.55,2,21595,58,0,Yes,5,Completed,44.2,78.03,14,2.3,Low
Village_488,GP Pati,Pati,Dindori,Telangana,28.02,Medium,28.78,Medium,No,No,44.58,Open,21.33,Medium,19.37,564.06,12.8,31.6,33.53,Moderate,57.95,13.0,Tap,50.57,43.78,14.37,Poor,No,8.07,10.81,Yes,69.48,50.32,18.11,6.22,62.54,499,7612,46.04,No,34.79,35.96,6.69,57.27,9.46,4.62,High,61.48,0.59,No,14,75.78,24.44,78.8,3,48069,53,33,Yes,1,Not Started,62.98,71.6,19,59.27,Low
Village_489,GP Niwas,Jobat,Umaria,Chhattisgarh,55.73,Shallow,57.82,High,No,No,7.06,Open,41.28,Medium,11.98,1248.19,23.6,12.51,41.84,Difficult,60.86,72.56,None,96.54,26.14,9.99,Moderate,Yes,0.88,7.38,No,24.37,14.36,9.31,26.36,86.3,831,4474,0.02,Yes,8.03,30.08,24.6,55.91,11.09,95.09,High,11.68,0.07,No,10,76.47,39.78,82.58,5,3707,58,8,Yes,2,Completed,91.71,52.59,8,86.56,Low
Village_490,GP Pati,Niwas,Jhabua,Telangana,0.24,Deep,98.79,Medium,No,No,66.07,Dense,86.48,Medium,29.85,805.47,17.65,14.87,58.46,Moderate,68.17,17.67,Handpump,92.06,0.93,18.41,Moderate,No,5.44,7.91,Yes,79.94,63.68,1.42,2.86,43.91,556,1135,67.22,Yes,35.59,32.49,24.26,92.98,43.74,8.8,Low,60.46,7.49,No,32,31.61,28.74,58.36,5,3060,81,48,No,5,Completed,51.77,28.37,24,63.15,Low
Village_491,GP Bajag,Sendhwa,Dindori,Jharkhand,0.18,Deep,99.81,High,Yes,No,53.21,Dense,66.55,High,18.4,391.73,13.33,2.62,44.79,Moderate,76.02,26.55,Spring,45.92,20.88,9.42,Moderate,No,8.96,2.83,No,31.58,69.99,18.22,27.05,48.72,299,9777,62.91,Yes,28.02,0.34,24.07,64.5,87.32,56.27,High,60.6,22.22,Yes,49,96.71,55.94,69.91,6,31787,7,0,Yes,12,Completed,6.14,67.3,3,34.89,High
Village_492,GP Pushparajgarh,Jobat,Umaria,Odisha,46.08,Shallow,7.86,Low,Yes,No,71.73,Moderate,33.91,High,6.94,1393.41,14.78,27.01,27.86,Easy,8.06,66.43,Handpump,39.03,55.05,17.06,Moderate,Yes,2.54,9.61,No,43.97,78.92,2.0,22.12,83.13,282,9742,52.48,Yes,13.71,61.74,10.57,80.71,57.58,31.55,Medium,50.11,20.35,Yes,54,43.25,17.08,33.72,9,35121,72,26,Yes,10,Not Started,6.9,5.04,11,2.88,Medium
Village_493,GP Bajag,Jobat,Anuppur,Chhattisgarh,4.04,Shallow,25.91,High,No,No,44.99,Dense,82.27,High,23.21,1173.83,10.39,21.76,17.32,Moderate,7.84,26.88,Tap,66.35,13.78,19.76,Poor,No,3.7,4.55,No,89.0,13.29,7.29,2.36,64.44,890,1989,61.63,Yes,34.66,9.64,22.85,25.9,77.92,22.99,High,30.26,29.19,Yes,57,63.93,12.3,89.1,2,27229,21,7,Yes,15,Not Started,54.73,34.16,8,70.01,Medium
Village_494,GP Ghughri,Niwas,Anuppur,Chhattisgarh,58.01,Deep,72.59,Medium,No,Yes,55.72,Open,96.35,Medium,8.17,462.24,24.32,14.92,49.37,Easy,84.76,1.53,None,8.5,54.65,16.84,Good,No,2.67,6.56,No,21.5,39.7,12.04,11.72,34.77,144,12579,35.72,Yes,34.61,16.14,4.95,61.13,24.57,98.31,High,38.09,24.14,No,17,77.87,33.2,2.51,0,33100,32,6,No,8,Completed,92.82,6.02,7,3.36,Low
Village_495,GP Pushparajgarh,Niwas,Anuppur,Jharkhand,93.82,Medium,8.08,High,Yes,No,73.46,Open,10.96,Medium,33.9,279.51,12.68,36.35,43.45,Moderate,55.96,25.98,None,74.76,37.65,5.3,Moderate,Yes,0.4,9.32,No,82.49,24.74,19.31,2.55,54.94,267,12345,75.47,Yes,8.02,30.83,21.2,92.74,86.26,29.7,Medium,39.77,38.38,Yes,16,89.22,53.16,19.41,6,15575,52,36,Yes,5,Completed,89.96,85.03,13,30.56,Medium
Village_496,GP Niwas,Bajag,Barwani,Jharkhand,48.94,Medium,25.41,High,Yes,Yes,1.21,Dense,72.62,Medium,0.96,112.86,8.95,15.73,15.44,Easy,39.16,31.79,None,86.73,76.21,12.39,Poor,No,5.4,19.28,No,80.1,22.08,4.07,0.68,50.05,656,2268,59.64,Yes,37.42,26.53,29.54,70.82,79.06,29.13,Medium,67.53,15.79,Yes,46,87.18,23.85,5.21,1,33873,63,38,Yes,4,Not Started,59.54,6.44,0,46.1,Low
Village_497,GP Jobat,Pati,Umaria,Telangana,66.88,Shallow,1.47,High,No,Yes,12.81,Dense,77.68,Low,28.15,724.82,8.78,18.07,46.71,Easy,41.34,57.25,Tap,4.51,60.76,13.63,Moderate,Yes,8.37,17.46,Yes,57.58,49.02,19.83,2.65,40.42,852,12867,97.34,No,18.18,60.91,1.84,38.18,87.67,77.1,High,9.02,11.77,No,2,34.19,31.18,36.96,6,13672,81,47,Yes,4,Completed,37.89,5.95,12,63.18,High
Village_498,GP Niwas,Bajag,Mandla,Madhya Pradesh,74.88,Shallow,42.09,Low,No,No,53.19,Open,34.82,Low,28.31,368.52,2.66,2.04,56.37,Difficult,58.98,83.62,Tap,8.46,72.11,10.43,Moderate,Yes,4.15,14.66,No,54.46,55.3,11.18,14.86,72.39,905,12613,54.46,Yes,14.11,58.69,23.89,92.44,37.95,41.9,High,23.59,5.62,Yes,58,10.92,15.16,42.06,7,25360,36,31,Yes,14,Completed,45.16,93.77,23,52.57,High
Village_499,GP Bajag,Jobat,Anuppur,Telangana,55.64,Shallow,86.88,Medium,Yes,No,3.82,Open,85.07,Low,3.85,1112.55,5.63,26.4,57.92,Difficult,96.66,20.4,Spring,31.79,27.28,18.95,Moderate,No,7.27,19.53,Yes,67.07,59.1,7.31,22.99,75.36,589,9613,92.0,No,25.68,9.33,10.74,17.16,9.51,4.52,High,12.13,21.51,No,53,29.13,0.1,89.21,3,27270,41,37,No,18,Not Started,43.83,74.73,10,93.88,High
Village_500,GP Niwas,Jobat,Jhabua,Chhattisgarh,69.92,Deep,0.01,Low,No,Yes,77.5,Moderate,41.48,High,10.07,733.1,24.96,11.46,54.88,Easy,15.77,69.05,Tap,50.96,39.1,11.19,Moderate,No,2.2,12.09,Yes,33.19,45.73,13.76,25.16,48.52,794,9443,24.06,Yes,11.26,57.06,21.99,97.88,78.35,17.16,High,24.66,9.17,No,25,68.16,36.18,94.05,0,25554,37,18,No,13,Not Started,24.43,48.69,6,53.35,Low
Village_501,GP Pushparajgarh,Sendhwa,Alirajpur,Odisha,98.01,Deep,1.27,High,No,No,0.05,Dense,76.28,Low,14.8,1270.13,3.21,31.03,20.51,Difficult,18.51,26.26,None,56.58,25.02,10.5,Good,Yes,6.86,3.5,Yes,76.42,29.18,17.4,20.95,45.82,791,8847,30.78,Yes,20.49,26.37,9.19,69.15,41.93,27.02,High,0.87,18.72,Yes,15,82.43,3.19,41.56,4,18469,3,24,No,17,Not Started,61.34,49.78,13,14.96,High
Village_502,GP Niwas,Jobat,Alirajpur,Chhattisgarh,93.18,Medium,53.05,Medium,Yes,No,10.6,Moderate,26.28,High,20.15,1432.99,8.68,16.45,44.52,Moderate,49.72,97.73,Spring,38.12,68.37,4.42,Good,No,3.85,7.67,Yes,66.61,13.62,9.81,3.83,84.23,185,2853,60.03,No,21.53,20.42,13.02,75.4,25.99,4.84,High,17.28,0.9,Yes,57,50.17,22.27,63.87,3,27711,97,23,No,18,Not Started,20.23,5.44,7,66.85,High
Village_503,GP Pati,Niwas,Umaria,Odisha,25.59,Shallow,16.42,Low,No,No,36.84,Dense,60.37,High,30.33,948.57,18.06,20.49,56.71,Difficult,6.74,51.06,Handpump,11.63,56.43,21.73,Moderate,Yes,4.21,8.55,No,63.46,44.46,19.38,23.73,64.64,372,11353,32.38,No,24.86,10.14,23.06,40.5,14.94,71.84,High,40.71,37.82,No,23,34.02,54.15,46.98,3,45648,15,0,No,0,Completed,9.15,60.12,11,89.66,Medium
Village_504,GP Jobat,Pali,Barwani,Odisha,72.46,Shallow,60.18,Medium,No,No,10.73,Moderate,93.76,High,25.54,102.32,7.85,2.28,59.19,Easy,30.03,27.24,None,60.31,3.51,4.78,Poor,Yes,1.67,15.78,No,34.73,21.13,14.1,0.59,82.59,102,4786,22.13,No,22.11,30.19,1.3,78.24,57.69,36.82,Medium,25.34,16.01,No,28,25.08,36.47,47.59,3,39960,81,14,No,14,In Progress,53.74,48.27,16,95.24,Medium
Village_505,GP Pushparajgarh,Bajag,Umaria,Telangana,11.7,Medium,37.79,Low,No,No,40.47,Open,91.2,Low,31.65,1248.38,2.81,23.28,42.09,Easy,93.12,10.08,Handpump,37.11,88.55,13.91,Poor,Yes,7.05,18.95,No,47.86,71.86,9.11,19.63,66.52,815,8866,89.3,No,25.51,6.85,25.99,57.09,89.13,32.31,Low,18.85,25.75,Yes,0,40.64,58.41,20.43,5,23992,46,32,Yes,18,Completed,35.12,33.14,1,82.86,Low
Village_506,GP Jobat,Niwas,Sheopur,Chhattisgarh,33.8,Shallow,31.52,High,Yes,No,40.74,Dense,8.36,Medium,5.58,1236.75,1.22,2.99,42.95,Easy,79.52,71.32,Tap,27.12,38.17,8.62,Moderate,No,9.35,7.61,No,76.74,42.52,9.28,24.19,69.07,743,8384,5.28,No,30.75,61.39,11.54,86.15,24.75,25.83,Low,61.78,22.65,No,5,81.64,45.29,27.33,7,43697,86,18,No,1,Not Started,82.9,86.49,6,99.5,Medium
Village_507,GP Pati,Pali,Alirajpur,Madhya Pradesh,21.52,Deep,11.21,High,No,Yes,36.36,Moderate,29.9,High,34.09,855.79,24.26,8.72,26.71,Easy,15.26,26.01,Handpump,37.88,98.69,18.51,Poor,No,5.53,1.77,Yes,54.91,50.72,3.35,6.4,95.18,746,9699,43.86,No,39.53,23.71,5.44,85.12,23.65,62.11,Medium,44.26,37.09,No,8,54.29,8.91,94.89,5,13907,8,44,No,8,Not Started,36.62,69.28,18,5.23,Medium
Village_508,GP Bajag,Sendhwa,Dindori,Madhya Pradesh,52.7,Shallow,92.06,Low,Yes,No,60.66,Moderate,34.61,High,24.67,63.61,8.7,39.86,27.96,Easy,65.92,73.62,None,87.29,79.94,21.92,Good,No,5.38,17.17,Yes,27.7,28.56,2.73,10.41,50.39,365,7724,55.28,No,24.33,20.1,15.51,14.84,91.8,11.82,High,1.19,8.22,No,43,33.39,34.73,86.13,0,10666,33,27,No,9,Not Started,11.06,91.41,22,44.44,High
Village_509,GP Jobat,Jobat,Umaria,Telangana,63.56,Medium,45.15,Medium,No,No,28.15,Moderate,89.62,Medium,5.79,1128.1,6.3,8.31,59.8,Moderate,34.04,6.16,Tap,44.76,64.17,22.78,Poor,No,3.64,16.89,Yes,36.92,45.56,4.52,8.42,39.58,547,5920,72.12,No,7.49,47.82,20.93,12.64,71.23,44.23,Low,44.06,29.53,Yes,43,31.19,45.53,32.31,8,12096,35,39,Yes,9,In Progress,8.66,22.26,20,50.7,Medium
Village_510,GP Ghughri,Niwas,Mandla,Telangana,56.65,Shallow,12.69,Low,Yes,No,68.49,Open,2.23,High,11.43,1406.12,23.63,32.62,17.41,Moderate,7.77,77.97,Tap,37.25,17.77,18.9,Moderate,Yes,0.58,3.74,No,56.73,13.94,13.65,26.1,40.76,183,10441,94.92,Yes,8.49,44.46,11.06,40.97,83.0,53.39,Low,67.51,31.78,No,8,37.23,57.64,10.23,6,29915,91,9,No,2,Completed,34.41,8.64,21,83.62,Low
Village_511,GP Bajag,Ghughri,Dindori,Jharkhand,34.7,Shallow,0.16,High,Yes,Yes,9.84,Open,15.9,Medium,9.73,497.57,3.17,34.63,43.48,Difficult,85.54,27.32,Handpump,78.08,96.94,20.51,Moderate,No,8.65,6.76,No,65.83,38.62,8.46,28.98,84.93,638,10704,70.05,Yes,5.94,31.62,3.94,24.38,24.82,6.63,Medium,58.68,17.42,No,8,16.65,39.89,86.75,7,20965,9,17,Yes,19,Not Started,27.1,93.24,3,93.93,Low
Village_512,GP Bajag,Niwas,Mandla,Chhattisgarh,45.7,Medium,32.96,Medium,No,No,49.16,Open,35.68,Medium,34.38,1112.4,4.89,29.27,9.8,Moderate,55.98,27.25,None,45.59,85.21,21.11,Poor,Yes,2.03,4.59,No,75.25,57.73,9.29,22.96,69.33,142,9166,92.5,Yes,24.73,23.2,15.93,21.23,43.74,50.11,Medium,56.11,14.83,No,7,97.19,49.77,4.86,0,44905,71,15,No,0,Not Started,66.84,97.19,1,50.06,High
Village_513,GP Bajag,Ghughri,Anuppur,Chhattisgarh,82.38,Deep,93.53,Medium,Yes,No,51.44,Open,59.62,Low,33.04,206.9,13.16,29.98,27.28,Difficult,64.63,93.44,Tap,56.52,61.16,2.45,Moderate,Yes,6.97,0.71,Yes,34.88,57.22,1.16,28.12,94.64,672,6391,22.69,Yes,8.69,52.83,16.95,1.28,86.56,88.83,Low,0.77,18.2,Yes,57,34.6,36.13,68.34,1,36487,86,14,Yes,12,Completed,52.46,64.61,13,68.75,High
Village_514,GP Jobat,Ghughri,Anuppur,Odisha,51.9,Medium,79.56,Medium,No,No,54.19,Dense,56.29,Medium,32.96,260.27,24.17,26.02,47.82,Moderate,75.35,59.16,Handpump,44.13,69.7,10.27,Moderate,No,1.95,15.45,Yes,86.52,22.8,0.81,6.49,95.95,731,2311,60.14,No,31.6,31.74,9.76,39.34,88.72,48.86,Low,48.4,15.41,No,14,88.72,4.72,26.63,9,22071,71,43,Yes,9,In Progress,97.07,53.94,6,58.28,Low
Village_515,GP Pushparajgarh,Niwas,Anuppur,Odisha,3.48,Shallow,59.17,High,No,Yes,56.08,Open,19.62,Medium,32.04,1401.48,24.48,6.91,20.76,Easy,53.65,93.21,Spring,64.11,34.9,0.33,Poor,Yes,4.79,13.26,Yes,66.94,45.74,6.92,24.61,59.51,904,1314,85.51,Yes,39.59,58.71,0.41,14.93,28.15,57.55,Low,63.24,22.56,Yes,46,25.96,14.92,65.8,7,3187,21,27,No,9,Not Started,22.35,37.47,17,95.33,Low
Village_516,GP Ghughri,Ghughri,Barwani,Odisha,24.78,Medium,98.68,Medium,No,Yes,74.75,Open,73.39,High,14.48,793.85,15.35,1.78,47.26,Difficult,55.26,23.13,Spring,57.39,58.44,16.38,Good,No,0.44,10.89,Yes,57.22,21.17,7.14,16.63,42.23,298,1446,1.58,Yes,30.96,15.25,27.55,88.01,88.57,61.64,High,26.07,16.17,Yes,10,56.81,59.66,84.63,0,38165,39,21,No,12,In Progress,45.89,34.02,5,52.12,Low
Village_517,GP Niwas,Pati,Umaria,Madhya Pradesh,76.46,Medium,0.49,Low,No,Yes,49.98,Moderate,14.84,High,17.27,685.58,6.6,9.49,34.16,Difficult,76.16,43.79,Spring,66.93,99.32,12.46,Poor,No,6.46,4.76,No,51.84,70.8,18.6,3.91,53.07,335,9950,74.65,No,4.86,23.45,23.28,24.35,44.92,25.81,Low,16.45,23.81,Yes,26,13.22,44.11,16.26,7,31170,11,3,No,7,Not Started,34.39,78.19,22,5.07,Medium
Village_518,GP Pati,Jobat,Umaria,Madhya Pradesh,10.05,Shallow,77.33,Low,No,No,64.74,Dense,44.14,Medium,3.38,849.7,15.56,12.06,13.17,Difficult,86.04,75.14,Spring,11.47,26.75,19.17,Good,No,3.4,12.53,No,39.34,11.69,2.71,15.83,37.03,979,13351,79.83,Yes,12.04,10.88,8.31,54.87,57.45,4.92,Low,16.23,31.31,Yes,20,10.05,42.14,60.19,6,40136,95,8,No,7,Completed,76.36,21.23,6,11.99,High
Village_519,GP Bajag,Bajag,Jhabua,Jharkhand,32.16,Deep,71.72,Medium,No,Yes,7.21,Open,39.55,Medium,18.49,355.35,6.84,37.39,37.68,Easy,91.78,8.34,Handpump,7.82,91.62,12.5,Moderate,Yes,1.96,10.85,No,78.66,64.96,1.96,21.17,31.69,982,11585,95.84,Yes,33.16,43.51,8.74,43.65,9.65,29.8,Low,42.27,5.56,Yes,48,39.47,22.04,75.88,3,22064,11,18,No,9,In Progress,32.79,83.97,18,90.98,Medium
Village_520,GP Pushparajgarh,Pali,Jhabua,Telangana,25.68,Shallow,15.19,High,Yes,Yes,10.7,Open,15.81,Low,2.52,1180.12,19.46,29.5,17.9,Easy,16.91,68.8,Handpump,96.34,56.13,18.65,Good,Yes,2.5,11.42,No,37.23,63.24,9.17,15.73,56.71,108,1071,88.15,No,17.97,10.05,21.35,75.16,76.93,52.83,High,7.48,4.66,Yes,0,36.95,32.35,90.74,7,34247,29,21,Yes,8,Not Started,27.5,62.11,7,64.14,Medium
Village_521,GP Pushparajgarh,Pati,Anuppur,Madhya Pradesh,49.38,Shallow,12.64,High,Yes,No,38.57,Moderate,84.58,High,21.97,1317.37,12.07,26.48,18.98,Difficult,56.2,45.43,Spring,67.34,56.68,4.48,Good,Yes,7.33,2.04,Yes,67.17,66.01,11.16,22.23,94.84,512,9472,32.1,No,35.75,38.31,3.87,0.69,83.04,15.51,High,52.82,30.98,Yes,20,65.09,44.36,12.97,1,23068,40,0,No,17,Not Started,59.38,52.32,17,7.4,Low
Village_522,GP Niwas,Sendhwa,Sheopur,Odisha,85.16,Medium,70.88,High,Yes,No,29.85,Dense,10.44,Medium,11.67,765.03,23.83,29.86,2.67,Moderate,81.51,38.05,None,93.21,81.53,16.84,Good,Yes,4.15,17.53,No,30.77,36.18,14.49,6.57,35.05,780,12476,80.59,No,7.04,5.68,18.71,2.87,21.78,64.78,Low,59.28,10.86,Yes,43,97.45,24.42,7.28,0,20525,17,7,No,3,Not Started,27.8,30.19,23,27.31,Medium
Village_523,GP Pushparajgarh,Niwas,Alirajpur,Telangana,40.15,Shallow,23.02,High,Yes,No,39.29,Moderate,33.12,Medium,21.39,1250.67,24.13,6.45,2.78,Difficult,39.89,76.46,Handpump,5.62,9.55,0.75,Good,Yes,2.34,3.73,Yes,45.47,60.08,16.62,5.45,90.7,56,3816,88.92,No,26.41,65.7,15.74,3.52,70.36,10.87,High,31.04,11.77,No,29,75.14,33.91,11.32,4,29990,32,22,No,7,Not Started,72.11,47.84,18,99.66,Low
Village_524,GP Bajag,Niwas,Barwani,Chhattisgarh,92.37,Shallow,20.63,Medium,No,Yes,11.14,Open,85.71,Low,5.32,1137.44,5.6,7.23,42.5,Difficult,88.37,14.4,Spring,99.07,79.25,23.05,Good,No,3.0,6.9,No,42.8,15.21,8.51,12.47,45.49,201,3534,74.97,Yes,28.81,1.05,21.07,45.03,34.05,42.82,Medium,5.33,25.83,No,18,53.99,48.52,87.81,2,35627,36,13,No,13,Completed,30.0,70.79,14,14.88,Medium
Village_525,GP Jobat,Jobat,Umaria,Madhya Pradesh,74.05,Medium,26.3,High,No,No,58.98,Open,71.75,Medium,15.37,128.41,9.52,31.31,25.05,Difficult,15.87,7.53,None,71.46,61.48,9.3,Moderate,No,7.15,5.8,Yes,41.57,60.62,6.25,12.34,57.97,712,14501,53.55,No,1.06,31.48,2.99,90.79,74.88,55.6,Medium,6.44,0.37,No,13,29.51,4.26,32.96,8,14560,26,29,Yes,18,In Progress,83.52,21.15,16,71.66,Medium
Village_526,GP Niwas,Niwas,Barwani,Chhattisgarh,19.58,Deep,8.48,High,No,No,33.07,Dense,4.15,Low,18.92,1155.95,16.48,22.23,2.75,Moderate,94.39,85.27,Spring,98.57,64.75,4.64,Poor,No,6.15,5.53,Yes,81.23,59.06,0.93,23.92,62.77,167,12213,38.52,No,23.11,20.91,8.03,89.2,27.5,3.52,Medium,0.94,4.42,Yes,43,21.71,24.85,91.74,6,23261,44,44,No,7,In Progress,51.97,68.33,21,68.81,High
Village_527,GP Bajag,Pati,Anuppur,Odisha,19.92,Shallow,30.67,High,No,No,18.33,Open,93.75,High,14.48,918.61,16.88,26.03,49.82,Moderate,52.32,92.29,Tap,93.69,25.82,13.17,Good,Yes,3.88,7.1,Yes,36.0,38.2,0.73,15.12,96.67,542,2588,68.68,Yes,6.98,36.35,9.98,83.15,51.52,80.1,Medium,54.63,19.26,Yes,51,62.47,47.01,55.28,4,37319,62,7,No,16,Not Started,40.24,64.4,1,29.69,Medium
Village_528,GP Niwas,Jobat,Anuppur,Jharkhand,36.31,Deep,92.97,Low,No,Yes,15.7,Dense,99.98,High,30.22,1469.7,20.46,30.4,43.91,Difficult,82.95,49.43,Tap,54.71,68.83,20.23,Poor,Yes,7.3,6.1,Yes,48.55,58.49,19.3,10.58,68.19,338,3192,42.69,No,16.34,6.73,15.19,95.01,73.07,11.89,Low,2.6,35.68,Yes,23,65.68,57.03,94.51,8,26798,92,11,Yes,5,Completed,97.63,1.29,10,62.69,High
Village_529,GP Ghughri,Niwas,Anuppur,Telangana,0.49,Shallow,6.1,Low,No,Yes,44.32,Dense,49.25,Low,23.2,924.41,11.05,16.34,26.47,Moderate,65.31,80.17,None,96.59,40.69,21.19,Moderate,No,4.55,16.57,Yes,41.88,30.53,1.85,20.43,40.78,801,2066,59.77,Yes,22.22,41.35,10.05,88.78,21.95,92.8,Low,67.61,38.37,Yes,24,55.27,26.3,99.3,8,36015,1,32,No,16,In Progress,19.32,89.05,19,59.03,Medium
Village_530,GP Ghughri,Ghughri,Anuppur,Jharkhand,65.36,Shallow,95.79,Low,No,No,36.06,Moderate,97.46,High,15.77,821.87,1.49,20.33,44.72,Difficult,34.25,31.69,Tap,52.73,82.77,20.48,Poor,No,6.02,10.7,No,40.32,28.62,2.58,28.74,94.45,328,14607,49.54,Yes,8.52,14.7,18.2,84.53,96.18,63.5,Medium,40.93,33.9,Yes,35,62.18,51.89,81.23,9,29003,92,41,No,15,Not Started,88.69,26.43,15,36.1,Medium
