village,gram_panchayat,tehsil,district,member_list,cfr_boundary_description,cfr_map_attached,khasra_numbers,bordering_villages,frc_formed,gramsabha_meeting_frequency,major_nftps_collected,seasonal_income_forest_percent,forest_condition,fire_incidents_5yrs,water_availability_in_forest,water_supply_coverage,electricity_supply_coverage,road_access_condition
Mandla Pur,GP Bajag,Ghughri,Barwani,No,Boundary segment 1957,Yes,Khasra 472,Baiga Chak,Yes,Monthly,Multiple,65.19,Degraded,Yes,High,Partial,Partial,Poor
Korku Pada,GP Jobat,Niwas,Anuppur,Yes,Boundary segment 1958,No,Khasra 348,Korku Pada,Yes,Quarterly,Mahua,56.06,Moderate,Yes,Low,Partial,None,Moderate
Baiga Chak,GP Pushparajgarh,Ghughri,Alirajpur,No,Boundary segment 1959,No,Khasra 368,Alirajpur Falia,No,Quarterly,Honey,3.48,Degraded,Yes,High,Partial,Full,Moderate
Korku Pada,GP Bajag,Jobat,Sheopur,Yes,Boundary segment 1960,Yes,Khasra 262,Korku Pada,No,Rare,Tendu Leaves,47.18,Good,No,Low,Full,Partial,Moderate
Sheopur Pada,GP Niwas,Pali,Sheopur,No,Boundary segment 1961,Yes,Khasra 235,Bhilapur,No,Monthly,Honey,49.22,Degraded,Yes,High,None,Partial,Good
Barwani Tola,GP Pati,Sendhwa,Anuppur,Yes,Boundary segment 1962,Yes,Khasra 263,Korku Pada,Yes,Quarterly,Mahua,72.33,Good,No,Medium,None,Full,Poor
Bhilapur,GP Pushparajgarh,Pati,Barwani,No,Boundary segment 1963,No,Khasra 360,Barwani Tola,No,Rare,Lac,65.93,Moderate,Yes,Medium,None,Full,Poor
Alirajpur Falia,GP Pati,Bajag,Mandla,No,Boundary segment 1964,Yes,Khasra 208,Gondwadi,Yes,Monthly,Tendu Leaves,46.42,Degraded,No,Medium,None,Full,Good
Alirajpur Falia,GP Pushparajgarh,Pali,Mandla,No,Boundary segment 1965,Yes,Khasra 361,Sheopur Pada,No,Rare,Mahua,5.79,Degraded,No,High,None,Full,Poor
Alirajpur Falia,GP Jobat,Jobat,Alirajpur,Yes,Boundary segment 1966,No,Khasra 79,Jhabua Kheda,No,Monthly,Honey,9.44,Degraded,No,Medium,Partial,None,Moderate
Mandla Pur,GP Pati,Pati,Sheopur,Yes,Boundary segment 1967,Yes,Khasra 396,Korku Pada,No,Quarterly,Lac,4.24,Degraded,No,Low,Partial,Partial,Moderate
Jhabua Kheda,GP Bajag,Ghughri,Umaria,Yes,Boundary segment 1968,Yes,Khasra 469,Alirajpur Falia,No,Monthly,Mahua,54.75,Degraded,No,High,None,Partial,Good
Baiga Chak,GP Bajag,Pali,Sheopur,No,Boundary segment 1969,No,Khasra 130,Gondwadi,Yes,Rare,Bamboo,22.62,Moderate,No,Medium,Partial,None,Good
Sheopur Pada,GP Ghughri,Ghughri,Sheopur,Yes,Boundary segment 1970,Yes,Khasra 334,Mandla Pur,Yes,Rare,Multiple,60.75,Degraded,Yes,Medium,Full,Full,Poor
Bhilapur,GP Pushparajgarh,Sendhwa,Mandla,No,Boundary segment 1971,No,Khasra 119,Korku Pada,Yes,Rare,Mahua,47.21,Good,No,Medium,Full,Full,Good
Sheopur Pada,GP Jobat,Pati,Umaria,Yes,Boundary segment 1972,Yes,Khasra 48,Sheopur Pada,Yes,Quarterly,Mahua,77.55,Degraded,Yes,Low,None,None,Good
Barwani Tola,GP Pushparajgarh,Pati,Barwani,No,Boundary segment 1973,No,Khasra 76,Bhilapur,No,Monthly,Lac,23.6,Good,No,Medium,Partial,None,Moderate
Korku Pada,GP Bajag,Pati,Sheopur,Yes,Boundary segment 1974,No,Khasra 228,Sheopur Pada,Yes,Rare,Multiple,32.92,Good,No,Low,Full,Partial,Moderate
Gondwadi,GP Ghughri,Pali,Alirajpur,Yes,Boundary segment 1975,Yes,Khasra 421,Baiga Chak,Yes,Rare,Mahua,6.9,Good,Yes,High,Full,None,Moderate
Mandla Pur,GP Bajag,Sendhwa,Sheopur,Yes,Boundary segment 1976,No,Khasra 222,Korku Pada,Yes,Quarterly,Mahua,30.08,Degraded,No,Medium,None,Partial,Poor
Alirajpur Falia,GP Bajag,Pali,Alirajpur,Yes,Boundary segment 1977,No,Khasra 46,Gondwadi,No,Monthly,Bamboo,69.29,Good,Yes,Low,Partial,Partial,Moderate
Dindori Gaon,GP Bajag,Sendhwa,Anuppur,No,Boundary segment 1978,No,Khasra 186,Gondwadi,No,Quarterly,Tendu Leaves,29.93,Moderate,Yes,Medium,Full,Full,Good
Baiga Chak,GP Pati,Pati,Barwani,Yes,Boundary segment 1979,No,Khasra 248,Baiga Chak,No,Monthly,Mahua,49.88,Good,Yes,Medium,Partial,None,Poor
Barwani Tola,GP Bajag,Jobat,Alirajpur,Yes,Boundary segment 1980,No,Khasra 291,Korku Pada,Yes,Monthly,Tendu Leaves,74.24,Moderate,No,Medium,Full,Full,Good
Alirajpur Falia,GP Niwas,Jobat,Mandla,No,Boundary segment 1981,No,Khasra 72,Baiga Chak,Yes,Monthly,Mahua,61.79,Good,Yes,High,Partial,Full,Poor
Korku Pada,GP Pushparajgarh,Jobat,Mandla,Yes,Boundary segment 1982,No,Khasra 389,Korku Pada,Yes,Quarterly,Multiple,52.73,Good,Yes,Medium,None,None,Good
Korku Pada,GP Ghughri,Niwas,Umaria,No,Boundary segment 1983,Yes,Khasra 259,Bhilapur,Yes,Rare,Mahua,20.79,Moderate,Yes,Low,None,None,Good
Korku Pada,GP Pushparajgarh,Pali,Umaria,No,Boundary segment 1984,Yes,Khasra 411,Bhilapur,Yes,Monthly,Honey,28.98,Degraded,No,High,Full,Partial,Moderate
Sheopur Pada,GP Ghughri,Pati,Barwani,No,Boundary segment 1985,Yes,Khasra 105,Alirajpur Falia,No,Monthly,Multiple,26.86,Moderate,Yes,Low,Full,None,Good
Gondwadi,GP Jobat,Sendhwa,Jhabua,No,Boundary segment 1986,Yes,Khasra 153,Sheopur Pada,Yes,Monthly,Bamboo,29.03,Moderate,Yes,Low,Partial,Partial,Moderate
Mandla Pur,GP Bajag,Pati,Alirajpur,Yes,Boundary segment 1987,No,Khasra 171,Gondwadi,Yes,Quarterly,Bamboo,6.54,Moderate,No,Medium,Partial,None,Poor
Sheopur Pada,GP Pati,Pali,Sheopur,No,Boundary segment 1988,No,Khasra 36,Jhabua Kheda,Yes,Rare,Bamboo,40.51,Degraded,Yes,Medium,None,None,Good
Bhilapur,GP Jobat,Ghughri,Barwani,Yes,Boundary segment 1989,No,Khasra 142,Gondwadi,Yes,Monthly,Tendu Leaves,74.17,Good,No,Medium,Full,Partial,Moderate
Sheopur Pada,GP Pushparajgarh,Pali,Umaria,Yes,Boundary segment 1990,No,Khasra 90,Mandla Pur,Yes,Rare,Honey,28.77,Moderate,Yes,Medium,None,None,Good
Korku Pada,GP Jobat,Jobat,Jhabua,No,Boundary segment 1991,Yes,Khasra 384,Alirajpur Falia,Yes,Rare,Tendu Leaves,12.01,Moderate,No,Medium,Partial,Partial,Poor
Barwani Tola,GP Pushparajgarh,Pali,Jhabua,Yes,Boundary segment 1992,Yes,Khasra 283,Sheopur Pada,Yes,Rare,Multiple,47.17,Degraded,Yes,Low,Partial,None,Good
Barwani Tola,GP Jobat,Jobat,Alirajpur,No,Boundary segment 1993,Yes,Khasra 423,Dindori Gaon,Yes,Quarterly,Lac,58.01,Moderate,Yes,Low,Full,Partial,Moderate
Dindori Gaon,GP Jobat,Sendhwa,Barwani,Yes,Boundary segment 1994,No,Khasra 202,Sheopur Pada,No,Monthly,Honey,67.72,Moderate,No,Medium,None,Partial,Poor
Alirajpur Falia,GP Pati,Pati,Alirajpur,No,Boundary segment 1995,Yes,Khasra 245,Gondwadi,Yes,Rare,Lac,2.51,Good,Yes,Low,Partial,Partial,Poor
Bhilapur,GP Pati,Sendhwa,Barwani,No,Boundary segment 1996,No,Khasra 392,Sheopur Pada,Yes,Rare,Mahua,72.5,Good,No,High,None,None,Good
Korku Pada,GP Ghughri,Ghughri,Barwani,Yes,Boundary segment 1997,No,Khasra 203,Jhabua Kheda,Yes,Monthly,Lac,33.09,Moderate,No,High,None,None,Poor
Gondwadi,GP Pushparajgarh,Bajag,Sheopur,No,Boundary segment 1998,No,Khasra 327,Barwani Tola,Yes,Rare,Bamboo,21.83,Good,No,Low,None,Partial,Good
Bhilapur,GP Pushparajgarh,Pati,Anuppur,Yes,Boundary segment 1999,No,Khasra 365,Barwani Tola,Yes,Quarterly,Bamboo,8.2,Moderate,Yes,High,None,None,Poor
Dindori Gaon,GP Niwas,Pali,Sheopur,Yes,Boundary segment 2000,No,Khasra 47,Mandla Pur,No,Quarterly,Multiple,64.37,Moderate,Yes,High,Partial,Full,Poor
Korku Pada,GP Jobat,Jobat,Barwani,No,Boundary segment 2001,No,Khasra 33,Dindori Gaon,Yes,Quarterly,Tendu Leaves,16.95,Degraded,No,Low,None,Partial,Poor
Sheopur Pada,GP Ghughri,Jobat,Anuppur,Yes,Boundary segment 2002,Yes,Khasra 43,Baiga Chak,No,Quarterly,Honey,7.59,Good,Yes,Medium,None,None,Poor
Barwani Tola,GP Jobat,Jobat,Jhabua,Yes,Boundary segment 2003,No,Khasra 274,Sheopur Pada,Yes,Monthly,Mahua,52.17,Degraded,Yes,Medium,Partial,Partial,Poor
Baiga Chak,GP Pushparajgarh,Pali,Alirajpur,No,Boundary segment 2004,Yes,Khasra 408,Alirajpur Falia,No,Rare,Bamboo,62.67,Degraded,No,Medium,Partial,None,Moderate
Bhilapur,GP Ghughri,Ghughri,Dindori,No,Boundary segment 2005,Yes,Khasra 361,Mandla Pur,No,Rare,Lac,75.93,Moderate,No,Medium,None,None,Good
Korku Pada,GP Jobat,Jobat,Dindori,No,Boundary segment 2006,No,Khasra 209,Dindori Gaon,No,Quarterly,Tendu Leaves,31.95,Degraded,Yes,Medium,None,None,Moderate
Sheopur Pada,GP Niwas,Pati,Dindori,No,Boundary segment 2007,No,Khasra 61,Korku Pada,Yes,Monthly,Bamboo,18.47,Degraded,Yes,High,Full,Full,Moderate
Korku Pada,GP Niwas,Pali,Sheopur,No,Boundary segment 2008,Yes,Khasra 2,Bhilapur,No,Monthly,Lac,15.74,Good,No,Medium,Full,None,Moderate
Jhabua Kheda,GP Jobat,Pali,Alirajpur,Yes,Boundary segment 2009,No,Khasra 425,Sheopur Pada,No,Monthly,Mahua,73.94,Moderate,Yes,High,Partial,Full,Moderate
Gondwadi,GP Pushparajgarh,Jobat,Jhabua,No,Boundary segment 2010,No,Khasra 2,Dindori Gaon,Yes,Monthly,Honey,74.34,Moderate,No,High,Partial,None,Moderate
Dindori Gaon,GP Niwas,Ghughri,Dindori,Yes,Boundary segment 2011,Yes,Khasra 448,Mandla Pur,No,Quarterly,Mahua,69.09,Degraded,Yes,Low,Full,None,Good
Korku Pada,GP Pushparajgarh,Pati,Dindori,Yes,Boundary segment 2012,Yes,Khasra 240,Alirajpur Falia,No,Monthly,Bamboo,26.21,Good,No,Low,None,Full,Moderate
Barwani Tola,GP Pushparajgarh,Jobat,Anuppur,No,Boundary segment 2013,Yes,Khasra 210,Baiga Chak,Yes,Quarterly,Bamboo,4.12,Good,No,High,None,None,Good
Dindori Gaon,GP Bajag,Bajag,Jhabua,No,Boundary segment 2014,No,Khasra 405,Baiga Chak,Yes,Rare,Tendu Leaves,42.01,Good,Yes,High,None,Partial,Moderate
Sheopur Pada,GP Ghughri,Pati,Mandla,No,Boundary segment 2015,Yes,Khasra 250,Dindori Gaon,Yes,Quarterly,Lac,76.65,Good,No,High,Partial,None,Poor
Baiga Chak,GP Jobat,Sendhwa,Anuppur,No,Boundary segment 2016,Yes,Khasra 193,Alirajpur Falia,Yes,Rare,Honey,12.14,Good,No,Medium,Partial,None,Poor
Bhilapur,GP Pushparajgarh,Pali,Anuppur,Yes,Boundary segment 2017,Yes,Khasra 443,Sheopur Pada,Yes,Quarterly,Lac,57.02,Good,Yes,Medium,Full,None,Good
Baiga Chak,GP Pushparajgarh,Sendhwa,Barwani,Yes,Boundary segment 2018,Yes,Khasra 473,Bhilapur,No,Quarterly,Honey,46.26,Moderate,No,High,Full,None,Poor
Dindori Gaon,GP Pushparajgarh,Bajag,Anuppur,Yes,Boundary segment 2019,Yes,Khasra 371,Mandla Pur,Yes,Monthly,Tendu Leaves,26.03,Degraded,Yes,Low,Full,Full,Moderate
Sheopur Pada,GP Jobat,Pati,Mandla,Yes,Boundary segment 2020,No,Khasra 236,Dindori Gaon,No,Quarterly,Multiple,2.5,Good,No,Low,Full,Partial,Moderate
Bhilapur,GP Pushparajgarh,Pali,Anuppur,Yes,Boundary segment 2021,Yes,Khasra 152,Mandla Pur,No,Monthly,Lac,60.17,Good,No,High,None,Full,Moderate
Alirajpur Falia,GP Pati,Bajag,Sheopur,No,Boundary segment 2022,No,Khasra 362,Baiga Chak,No,Monthly,Bamboo,10.98,Degraded,Yes,Medium,Partial,Full,Moderate
Mandla Pur,GP Pati,Niwas,Anuppur,Yes,Boundary segment 2023,Yes,Khasra 136,Sheopur Pada,No,Monthly,Lac,15.69,Moderate,Yes,High,None,None,Good
Sheopur Pada,GP Pushparajgarh,Bajag,Alirajpur,No,Boundary segment 2024,Yes,Khasra 497,Mandla Pur,No,Monthly,Bamboo,11.69,Good,Yes,High,None,Full,Moderate
Korku Pada,GP Ghughri,Pali,Umaria,Yes,Boundary segment 2025,Yes,Khasra 69,Gondwadi,Yes,Rare,Mahua,51.8,Good,No,Low,Partial,Partial,Good
Korku Pada,GP Niwas,Pali,Dindori,No,Boundary segment 2026,No,Khasra 151,Gondwadi,No,Quarterly,Tendu Leaves,65.56,Moderate,No,Medium,Partial,Full,Moderate
Alirajpur Falia,GP Bajag,Sendhwa,Alirajpur,No,Boundary segment 2027,No,Khasra 240,Baiga Chak,No,Quarterly,Tendu Leaves,52.42,Moderate,No,Low,Partial,Partial,Poor
Dindori Gaon,GP Bajag,Sendhwa,Mandla,No,Boundary segment 2028,Yes,Khasra 70,Baiga Chak,No,Monthly,Bamboo,49.78,Good,No,Low,Full,Full,Moderate
Sheopur Pada,GP Niwas,Niwas,Dindori,No,Boundary segment 2029,Yes,Khasra 20,Alirajpur Falia,No,Quarterly,Bamboo,13.11,Good,Yes,Medium,Partial,Partial,Moderate
Dindori Gaon,GP Pushparajgarh,Pali,Sheopur,Yes,Boundary segment 2030,No,Khasra 427,Baiga Chak,No,Rare,Tendu Leaves,4.15,Good,No,Medium,Partial,Full,Moderate
Barwani Tola,GP Niwas,Niwas,Barwani,Yes,Boundary segment 2031,Yes,Khasra 391,Gondwadi,Yes,Quarterly,Multiple,74.56,Moderate,No,High,Full,Full,Moderate
Dindori Gaon,GP Ghughri,Sendhwa,Alirajpur,Yes,Boundary segment 2032,No,Khasra 51,Alirajpur Falia,Yes,Rare,Tendu Leaves,21.11,Degraded,No,High,Partial,Full,Good
Dindori Gaon,GP Niwas,Sendhwa,Barwani,No,Boundary segment 2033,No,Khasra 211,Baiga Chak,Yes,Rare,Lac,38.67,Good,No,High,Partial,Full,Good
Baiga Chak,GP Pushparajgarh,Ghughri,Anuppur,No,Boundary segment 2034,Yes,Khasra 388,Mandla Pur,Yes,Monthly,Mahua,26.34,Good,No,High,Partial,Partial,Poor
Korku Pada,GP Ghughri,Niwas,Jhabua,No,Boundary segment 2035,Yes,Khasra 220,Alirajpur Falia,Yes,Monthly,Bamboo,27.16,Moderate,No,Low,Partial,Partial,Good
Barwani Tola,GP Jobat,Jobat,Umaria,Yes,Boundary segment 2036,Yes,Khasra 7,Jhabua Kheda,No,Quarterly,Honey,23.26,Degraded,Yes,Low,None,Full,Moderate
Gondwadi,GP Jobat,Sendhwa,Dindori,Yes,Boundary segment 2037,Yes,Khasra 91,Barwani Tola,No,Rare,Honey,2.54,Moderate,No,Medium,None,Full,Moderate
Barwani Tola,GP Niwas,Jobat,Umaria,No,Boundary segment 2038,Yes,Khasra 210,Barwani Tola,No,Monthly,Mahua,71.61,Moderate,No,High,None,None,Moderate
Mandla Pur,GP Pati,Niwas,Barwani,No,Boundary segment 2039,No,Khasra 50,Gondwadi,Yes,Monthly,Mahua,39.65,Degraded,No,High,Partial,Full,Moderate
Dindori Gaon,GP Pushparajgarh,Pati,Dindori,Yes,Boundary segment 2040,Yes,Khasra 20,Barwani Tola,Yes,Monthly,Honey,29.51,Good,No,High,Partial,Full,Poor
Jhabua Kheda,GP Pati,Ghughri,Barwani,Yes,Boundary segment 2041,No,Khasra 418,Mandla Pur,Yes,Monthly,Multiple,5.24,Good,Yes,Medium,Partial,None,Moderate
Mandla Pur,GP Ghughri,Sendhwa,Dindori,Yes,Boundary segment 2042,No,Khasra 113,Sheopur Pada,Yes,Rare,Bamboo,25.26,Moderate,Yes,High,Full,Full,Poor
Mandla Pur,GP Pati,Ghughri,Alirajpur,Yes,Boundary segment 2043,Yes,Khasra 455,Sheopur Pada,Yes,Monthly,Multiple,73.84,Good,Yes,High,None,None,Poor
Jhabua Kheda,GP Bajag,Pati,Dindori,Yes,Boundary segment 2044,Yes,Khasra 232,Bhilapur,Yes,Monthly,Bamboo,54.63,Good,No,Medium,Partial,Full,Moderate
Sheopur Pada,GP Niwas,Jobat,Dindori,Yes,Boundary segment 2045,Yes,Khasra 264,Bhilapur,Yes,Quarterly,Multiple,38.06,Degraded,Yes,Low,Partial,None,Good
Alirajpur Falia,GP Bajag,Pali,Jhabua,No,Boundary segment 2046,No,Khasra 243,Gondwadi,No,Quarterly,Mahua,36.05,Degraded,Yes,Low,Partial,Partial,Good
Mandla Pur,GP Jobat,Bajag,Anuppur,Yes,Boundary segment 2047,No,Khasra 43,Dindori Gaon,Yes,Quarterly,Honey,61.23,Good,Yes,Medium,Partial,Partial,Good
Bhilapur,GP Ghughri,Sendhwa,Jhabua,No,Boundary segment 2048,No,Khasra 254,Barwani Tola,Yes,Quarterly,Bamboo,59.18,Moderate,No,Medium,None,None,Good
Gondwadi,GP Bajag,Pali,Barwani,Yes,Boundary segment 2049,No,Khasra 84,Dindori Gaon,No,Quarterly,Lac,72.15,Good,Yes,Low,None,Full,Good
Dindori Gaon,GP Pati,Niwas,Umaria,Yes,Boundary segment 2050,No,Khasra 31,Mandla Pur,No,Monthly,Tendu Leaves,28.02,Moderate,No,High,Partial,Full,Poor
Bhilapur,GP Pati,Bajag,Jhabua,Yes,Boundary segment 2051,Yes,Khasra 147,Sheopur Pada,Yes,Quarterly,Tendu Leaves,79.96,Moderate,Yes,Low,Partial,Full,Poor
Mandla Pur,GP Jobat,Pati,Anuppur,No,Boundary segment 2052,No,Khasra 122,Bhilapur,Yes,Quarterly,Honey,45.21,Good,No,Medium,Full,Full,Poor
Korku Pada,GP Bajag,Sendhwa,Umaria,No,Boundary segment 2053,No,Khasra 240,Alirajpur Falia,No,Monthly,Tendu Leaves,46.28,Moderate,Yes,Medium,Partial,Partial,Poor
Bhilapur,GP Bajag,Sendhwa,Alirajpur,No,Boundary segment 2054,No,Khasra 126,Mandla Pur,No,Rare,Mahua,33.47,Degraded,No,High,None,Full,Moderate
Alirajpur Falia,GP Pushparajgarh,Pati,Alirajpur,Yes,Boundary segment 2055,Yes,Khasra 77,Baiga Chak,Yes,Monthly,Mahua,15.15,Moderate,No,Low,None,Full,Good
Korku Pada,GP Bajag,Pali,Alirajpur,Yes,Boundary segment 2056,No,Khasra 173,Dindori Gaon,Yes,Quarterly,Tendu Leaves,47.17,Moderate,Yes,High,None,Full,Good
Mandla Pur,GP Niwas,Pati,Barwani,Yes,Boundary segment 2057,No,Khasra 455,Barwani Tola,Yes,Quarterly,Tendu Leaves,44.86,Good,Yes,High,Full,Partial,Moderate
Bhilapur,GP Jobat,Sendhwa,Barwani,Yes,Boundary segment 2058,No,Khasra 409,Dindori Gaon,Yes,Rare,Tendu Leaves,32.28,Moderate,Yes,Medium,None,None,Moderate
Jhabua Kheda,GP Pushparajgarh,Sendhwa,Mandla,Yes,Boundary segment 2059,No,Khasra 263,Barwani Tola,No,Rare,Honey,66.14,Good,No,High,Full,Full,Good
Mandla Pur,GP Pushparajgarh,Bajag,Umaria,No,Boundary segment 2060,No,Khasra 218,Baiga Chak,No,Quarterly,Mahua,6.32,Moderate,Yes,High,Partial,Full,Poor
Gondwadi,GP Ghughri,Pali,Dindori,No,Boundary segment 2061,Yes,Khasra 384,Dindori Gaon,No,Rare,Honey,54.78,Degraded,No,Medium,Partial,None,Moderate
Gondwadi,GP Jobat,Pati,Sheopur,Yes,Boundary segment 2062,Yes,Khasra 111,Alirajpur Falia,Yes,Monthly,Honey,72.23,Good,Yes,High,Full,Partial,Poor
Bhilapur,GP Jobat,Ghughri,Mandla,No,Boundary segment 2063,No,Khasra 116,Bhilapur,No,Rare,Bamboo,71.81,Moderate,No,High,None,None,Good
Baiga Chak,GP Bajag,Bajag,Sheopur,Yes,Boundary segment 2064,No,Khasra 29,Korku Pada,No,Rare,Bamboo,0.72,Degraded,No,Medium,Partial,Partial,Good
Gondwadi,GP Bajag,Sendhwa,Sheopur,No,Boundary segment 2065,Yes,Khasra 170,Baiga Chak,No,Monthly,Bamboo,78.76,Moderate,Yes,High,None,Full,Poor
Dindori Gaon,GP Pushparajgarh,Niwas,Dindori,Yes,Boundary segment 2066,Yes,Khasra 96,Alirajpur Falia,No,Rare,Multiple,76.45,Degraded,No,High,Full,Partial,Good
Jhabua Kheda,GP Pati,Ghughri,Jhabua,Yes,Boundary segment 2067,No,Khasra 272,Gondwadi,Yes,Monthly,Multiple,50.45,Degraded,No,Low,Partial,Full,Poor
Sheopur Pada,GP Pushparajgarh,Jobat,Umaria,Yes,Boundary segment 2068,Yes,Khasra 463,Alirajpur Falia,Yes,Quarterly,Tendu Leaves,45.97,Good,Yes,Low,None,None,Poor
Jhabua Kheda,GP Pushparajgarh,Jobat,Sheopur,No,Boundary segment 2069,No,Khasra 322,Alirajpur Falia,No,Monthly,Mahua,5.42,Moderate,Yes,High,Full,Partial,Moderate
Alirajpur Falia,GP Pati,Ghughri,Dindori,No,Boundary segment 2070,No,Khasra 397,Gondwadi,No,Monthly,Mahua,61.78,Good,No,Medium,Full,Full,Moderate
Dindori Gaon,GP Jobat,Sendhwa,Barwani,Yes,Boundary segment 2071,Yes,Khasra 422,Mandla Pur,No,Rare,Multiple,44.18,Good,No,High,None,Full,Moderate
Alirajpur Falia,GP Pushparajgarh,Pali,Barwani,No,Boundary segment 2072,No,Khasra 43,Alirajpur Falia,Yes,Rare,Tendu Leaves,8.33,Moderate,Yes,Low,Partial,Partial,Poor
Barwani Tola,GP Ghughri,Ghughri,Mandla,No,Boundary segment 2073,No,Khasra 167,Sheopur Pada,Yes,Monthly,Mahua,7.18,Good,Yes,High,Full,Full,Moderate
Alirajpur Falia,GP Pushparajgarh,Pali,Jhabua,No,Boundary segment 2074,No,Khasra 42,Bhilapur,Yes,Quarterly,Tendu Leaves,54.63,Moderate,No,High,Partial,None,Good
Jhabua Kheda,GP Ghughri,Sendhwa,Anuppur,Yes,Boundary segment 2075,No,Khasra 381,Dindori Gaon,No,Monthly,Honey,2.35,Moderate,Yes,High,Partial,Full,Poor
Bhilapur,GP Ghughri,Pati,Mandla,No,Boundary segment 2076,Yes,Khasra 247,Bhilapur,Yes,Rare,Multiple,55.32,Moderate,Yes,Medium,Partial,Partial,Poor
Barwani Tola,GP Bajag,Sendhwa,Dindori,No,Boundary segment 2077,Yes,Khasra 269,Gondwadi,Yes,Monthly,Honey,31.87,Good,No,High,Partial,None,Poor
Gondwadi,GP Pati,Niwas,Anuppur,Yes,Boundary segment 2078,No,Khasra 276,Korku Pada,No,Monthly,Bamboo,51.27,Good,No,Medium,Full,Full,Poor
Baiga Chak,GP Jobat,Jobat,Alirajpur,Yes,Boundary segment 2079,Yes,Khasra 43,Sheopur Pada,No,Rare,Honey,22.54,Good,No,Medium,Full,Partial,Good
Korku Pada,GP Pushparajgarh,Pati,Dindori,Yes,Boundary segment 2080,No,Khasra 173,Barwani Tola,Yes,Quarterly,Tendu Leaves,18.56,Moderate,No,Low,Partial,Partial,Poor
Bhilapur,GP Pati,Pati,Dindori,Yes,Boundary segment 2081,No,Khasra 191,Mandla Pur,Yes,Rare,Multiple,40.2,Good,No,Medium,None,None,Good
Korku Pada,GP Niwas,Niwas,Barwani,No,Boundary segment 2082,Yes,Khasra 300,Bhilapur,No,Quarterly,Tendu Leaves,15.58,Good,Yes,High,Full,Partial,Poor
Korku Pada,GP Niwas,Ghughri,Jhabua,No,Boundary segment 2083,Yes,Khasra 225,Gondwadi,No,Quarterly,Bamboo,39.52,Degraded,No,Medium,Full,None,Moderate
Barwani Tola,GP Bajag,Pali,Jhabua,No,Boundary segment 2084,No,Khasra 461,Barwani Tola,Yes,Rare,Tendu Leaves,17.81,Good,No,High,Partial,None,Poor
Baiga Chak,GP Ghughri,Ghughri,Alirajpur,No,Boundary segment 2085,Yes,Khasra 426,Sheopur Pada,Yes,Quarterly,Mahua,74.72,Degraded,Yes,Low,None,Full,Poor
Barwani Tola,GP Ghughri,Pali,Umaria,No,Boundary segment 2086,No,Khasra 241,Mandla Pur,Yes,Rare,Mahua,49.59,Degraded,Yes,High,Partial,Full,Good
Gondwadi,GP Niwas,Bajag,Alirajpur,Yes,Boundary segment 2087,No,Khasra 390,Alirajpur Falia,No,Rare,Honey,11.3,Degraded,Yes,High,None,None,Poor
Gondwadi,GP Jobat,Jobat,Umaria,No,Boundary segment 2088,Yes,Khasra 207,Dindori Gaon,No,Monthly,Bamboo,17.72,Good,Yes,Medium,Full,Partial,Moderate
Jhabua Kheda,GP Ghughri,Bajag,Mandla,Yes,Boundary segment 2089,Yes,Khasra 327,Mandla Pur,No,Rare,Bamboo,16.48,Moderate,Yes,High,Partial,Full,Good
Barwani Tola,GP Niwas,Ghughri,Jhabua,Yes,Boundary segment 2090,Yes,Khasra 171,Jhabua Kheda,No,Quarterly,Lac,20.04,Good,Yes,High,None,Full,Good
Barwani Tola,GP Jobat,Niwas,Alirajpur,No,Boundary segment 2091,Yes,Khasra 86,Baiga Chak,No,Quarterly,Mahua,21.58,Moderate,Yes,High,Partial,Partial,Moderate
Bhilapur,GP Ghughri,Sendhwa,Sheopur,Yes,Boundary segment 2092,No,Khasra 92,Alirajpur Falia,No,Quarterly,Bamboo,12.47,Degraded,Yes,High,None,None,Poor
Korku Pada,GP Pushparajgarh,Niwas,Sheopur,Yes,Boundary segment 2093,Yes,Khasra 250,Bhilapur,No,Quarterly,Lac,31.78,Degraded,Yes,High,Partial,Partial,Good
Korku Pada,GP Pati,Pati,Umaria,Yes,Boundary segment 2094,Yes,Khasra 54,Alirajpur Falia,Yes,Rare,Multiple,48.75,Moderate,Yes,Low,Full,Full,Poor
Alirajpur Falia,GP Jobat,Sendhwa,Dindori,Yes,Boundary segment 2095,Yes,Khasra 488,Barwani Tola,No,Monthly,Tendu Leaves,28.8,Moderate,Yes,Low,Full,Full,Poor
Sheopur Pada,GP Pati,Niwas,Barwani,Yes,Boundary segment 2096,No,Khasra 334,Alirajpur Falia,No,Quarterly,Bamboo,31.26,Moderate,Yes,Low,Partial,None,Poor
Barwani Tola,GP Niwas,Pati,Barwani,Yes,Boundary segment 2097,No,Khasra 446,Bhilapur,No,Rare,Lac,50.38,Moderate,Yes,Medium,Full,Full,Poor
Sheopur Pada,GP Bajag,Pali,Barwani,Yes,Boundary segment 2098,No,Khasra 317,Baiga Chak,No,Monthly,Lac,31.24,Degraded,No,Medium,Full,Full,Poor
Baiga Chak,GP Pushparajgarh,Pati,Dindori,No,Boundary segment 2099,No,Khasra 421,Korku Pada,No,Quarterly,Multiple,1.63,Good,No,Low,None,Partial,Good
